"variable","value","deconvolution_method"
"clean_bootstrap",0,"clean_bootstrap"
"clean_bootstrap",0,"clean_bootstrap"
"clean_bootstrap",0,"clean_bootstrap"
"clean_bootstrap",0,"clean_bootstrap"
"clean_bootstrap",0,"clean_bootstrap"
"clean_bootstrap",0,"clean_bootstrap"
"clean_bootstrap",0,"clean_bootstrap"
"clean_bootstrap",0,"clean_bootstrap"
"clean_bootstrap",0.002,"clean_bootstrap"
"clean_bootstrap",0.002,"clean_bootstrap"
"clean_bootstrap",0.002,"clean_bootstrap"
"clean_bootstrap",0.002,"clean_bootstrap"
"clean_bootstrap",0.004,"clean_bootstrap"
"clean_bootstrap",0.004,"clean_bootstrap"
"clean_bootstrap",0.004,"clean_bootstrap"
"clean_bootstrap",0.006,"clean_bootstrap"
"clean_bootstrap",0.006,"clean_bootstrap"
"clean_bootstrap",0.006,"clean_bootstrap"
"clean_bootstrap",0.006,"clean_bootstrap"
"clean_bootstrap",0.006,"clean_bootstrap"
"clean_bootstrap",0.006,"clean_bootstrap"
"clean_bootstrap",0.006,"clean_bootstrap"
"clean_bootstrap",0.006,"clean_bootstrap"
"clean_bootstrap",0.006,"clean_bootstrap"
"clean_bootstrap",0.006,"clean_bootstrap"
"clean_bootstrap",0.006,"clean_bootstrap"
"clean_bootstrap",0.008,"clean_bootstrap"
"clean_bootstrap",0.008,"clean_bootstrap"
"clean_bootstrap",0.008,"clean_bootstrap"
"clean_bootstrap",0.01,"clean_bootstrap"
"clean_bootstrap",0.01,"clean_bootstrap"
"clean_bootstrap",0.012,"clean_bootstrap"
"clean_bootstrap",0.012,"clean_bootstrap"
"clean_bootstrap",0.012,"clean_bootstrap"
"clean_bootstrap",0.014,"clean_bootstrap"
"clean_bootstrap",0.014,"clean_bootstrap"
"clean_bootstrap",0.014,"clean_bootstrap"
"clean_bootstrap",0.014,"clean_bootstrap"
"clean_bootstrap",0.014,"clean_bootstrap"
"clean_bootstrap",0.016,"clean_bootstrap"
"clean_bootstrap",0.016,"clean_bootstrap"
"clean_bootstrap",0.016,"clean_bootstrap"
"clean_bootstrap",0.018,"clean_bootstrap"
"clean_bootstrap",0.018,"clean_bootstrap"
"clean_bootstrap",0.02,"clean_bootstrap"
"clean_bootstrap",0.02,"clean_bootstrap"
"clean_bootstrap",0.02,"clean_bootstrap"
"clean_bootstrap",0.02,"clean_bootstrap"
"clean_bootstrap",0.022,"clean_bootstrap"
"clean_bootstrap",0.022,"clean_bootstrap"
"clean_bootstrap",0.022,"clean_bootstrap"
"clean_bootstrap",0.022,"clean_bootstrap"
"clean_bootstrap",0.022,"clean_bootstrap"
"clean_bootstrap",0.024,"clean_bootstrap"
"clean_bootstrap",0.024,"clean_bootstrap"
"clean_bootstrap",0.024,"clean_bootstrap"
"clean_bootstrap",0.024,"clean_bootstrap"
"clean_bootstrap",0.024,"clean_bootstrap"
"clean_bootstrap",0.024,"clean_bootstrap"
"clean_bootstrap",0.024,"clean_bootstrap"
"clean_bootstrap",0.024,"clean_bootstrap"
